470010201001000,-84.247849,36.01954,8,6.6899999999999995,0.48878923766816146,0.48281016442451424
470010201001001,-84.247373,36.018542999999994,0,0.0,0,0
470010201001002,-84.249393,36.0141195,152,127.68,0.48778195488721804,0.48026315789473684
470010201001003,-84.24998149999999,36.014908500000004,0,0.0,0,0
470010201001004,-84.249068,36.015907999999996,0,0.0,0,0
470010201001005,-84.25098399999999,36.013883,0,0.0,0,0
470010201001006,-84.25177299999999,36.014574499999995,0,0.0,0,0
470010201001007,-84.2499215,36.016217499999996,0,0.0,0,0
470010201001008,-84.25018700000001,36.009264,247,207.49000000000004,0.4877825437370475,0.48026410911369216
470010201001009,-84.2542235,36.009499999999996,0,0.0,0,0
470010201001010,-84.25704999999999,36.0109525,0,0.0,0,0
470010201001011,-84.2562055,36.0139195,0,0.0,0,0
470010201001012,-84.25407799999999,36.0142015,0,0.0,0,0
470010201001013,-84.2542635,36.012334499999994,0,0.0,0,0
470010201001014,-84.25742249999999,36.0136435,0,0.0,0,0
470010201001015,-84.261245,36.0109645,0,0.0,0,0
470010201001016,-84.267332,36.0108215,0,0.0,0,0
470010201001017,-84.258511,36.007484,0,0.0,0,0
470010201001018,-84.2634995,36.009234,0,0.0,0,0
470010201001019,-84.26827899999999,36.009673,0,0.0,0,0
470010201001020,-84.26861149999999,36.009506,6,6.019999999999998,0.40863787375415295,0.5647840531561463
470010201001021,-84.2710355,36.0086465,18,18.059999999999995,0.4091915836101884,0.5653377630121819
470010201001022,-84.25731199999998,36.0079415,0,0.0,0,0
470010201001023,-84.2585395,36.0070785,0,0.0,0,0
470010201001024,-84.2632695,36.0081455,0,0.0,0,0
470010201001025,-84.26721549999999,36.0084985,0,0.0,0,0
470010201001026,-84.2768195,36.006814,98,98.26000000000002,0.40952574801546904,0.5653368613881538
470010201001027,-84.2737555,36.006390499999995,126,126.35,0.4094974277799762,0.5652552433715868
470010201001028,-84.27100049999999,36.006903,168,168.42,0.40957130982068635,0.5653722835767724
470010201001029,-84.252663,36.0058325,0,0.0,0,0
470010201001030,-84.25574999999999,36.006615,0,0.0,0,0
470010201001031,-84.249673,36.0027865,34,34.120000000000005,0.4091441969519343,0.5647713950762016
470010201001032,-84.24422849999999,36.001059,0,0.0,0,0
470010201001033,-84.2512135,36.0002795,0,0.0,0,0
470010201001034,-84.2581665,36.002039999999994,0,0.0,0,0
470010201001035,-84.2597,36.000316,0,0.0,0,0
470010201001036,-84.261739,35.998602,68,68.17000000000002,0.4095643244829103,0.5653513275634442
470010201001037,-84.26423399999999,35.998334,49,49.12,0.40960912052117265,0.5653501628664496
470010201001038,-84.26558750000001,35.9946915,18,18.059999999999995,0.4091915836101884,0.5653377630121819
470010201001039,-84.2702505,35.991714,99,99.26000000000002,0.4095305258915977,0.5652830949022767
470010201001040,-84.26951299999999,35.990286999999995,1,0.98,0.41836734693877553,0.5714285714285715
470010201001041,-84.26989449999999,35.99091799999999,0,0.0,0,0
470010201001042,-84.2641815,35.993187,42,42.129999999999995,0.4094469499169239,0.5651554711606931
470010201001043,-84.267831,35.9948605,0,0.0,0,0
470010201001044,-84.2590405,35.997182499999994,54,54.14,0.40949390469154046,0.5653860362024381
470010201001045,-84.2618025,35.9959405,34,34.120000000000005,0.4091441969519343,0.5647713950762016
470010201001046,-84.269826,35.9923215,14,14.039999999999997,0.4095441595441596,0.5655270655270656
470010201001047,-84.2603995,35.993933999999996,15,15.04,0.4095744680851064,0.5651595744680852
470010201001048,-84.2644665,35.9954965,25,25.059999999999995,0.4098164405426976,0.565442936951317
470010201002000,-84.256632,36.0046165,0,0.0,0,0
470010201002001,-84.2606895,36.0062765,9,9.009999999999998,0.409544950055494,0.5660377358490567
470010201002002,-84.26463749999999,36.0060165,154,154.42,0.40953244398393995,0.5652765185856754
470010201002003,-84.27911749999998,35.997859,375,376.0,0.4095212765957447,0.5652925531914894
470010201002004,-84.2837605,36.000817999999995,239,239.64999999999995,0.409513874400167,0.5652827039432506
470010201002005,-84.303049,35.985003,45,65.75000000000001,0.5317110266159695,0.4456273764258554
470010201002006,-84.29845,35.996142,23,23.049999999999997,0.4095444685466378,0.5657266811279826
470010201002007,-84.30800099999999,35.995442999999995,1,1.44,0.5347222222222222,0.4513888888888889
470010201002008,-84.3079515,35.995752499999995,0,0.0,0,0
470010201002009,-84.3123755,35.993947,0,0.0,0,0
